City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,moses lake,47.1301,-119.2781,9.38,76,0,5.14,US,1699835417
335,chichicastenango,14.9333,-91.1167,17.63,96,62,1.47,GT,1699835692
336,pangody,65.85,74.4859,-10.74,88,12,6.33,RU,1699835692
337,san antonio de pale,-1.4014,5.6325,26.22,83,27,5.83,GQ,1699835692
338,znojmo,48.8555,16.0488,2.26,75,100,1.17,CZ,1699835692
339,gadzhiyevo,69.2551,33.3362,-9.98,97,99,4.31,RU,1699835692
340,cabo san lucas,22.8909,-109.9124,28.17,65,40,5.14,MX,1699835692
341,sanctuary point,-35.1114,150.629,18.44,55,99,2.75,AU,1699835693
342,mohr,54.3528,9.7167,7.05,96,18,3.09,DE,1699835693
343,antofagasta,-23.65,-70.4,17.6,77,42,3.88,CL,1699835534
344,shimoda,34.6667,138.95,12.2,74,86,4.56,JP,1699835693
345,vila franca do campo,37.7167,-25.4333,20.23,92,92,6.94,PT,1699835693
346,briancon,44.9,6.65,6.19,99,100,2.53,FR,1699835693
347,tabriz,38.08,46.2919,8.7,49,0,3.09,IR,1699835694
348,al kharijah,25.4514,30.5464,24.13,51,100,3.99,EG,1699835694
349,korla,41.7597,86.1469,3.14,70,86,2.01,CN,1699835694
350,vorgashor,67.5833,63.95,-11.93,98,78,3.41,RU,1699835694
351,iquique,-20.2208,-70.1431,19.02,80,55,0.23,CL,1699835385
352,ryotsu-minato,38.0833,138.4333,8.37,65,100,7.65,JP,1699835694
353,alice springs,-23.7,133.8833,30.75,35,85,4.12,AU,1699835417
354,rantoul,40.3084,-88.1559,10.55,56,0,3.09,US,1699835695
355,totness,5.8833,-56.3167,27.2,83,0,5.88,SR,1699835695
356,ad dilam,23.9915,47.1627,22.23,52,97,2.17,SA,1699835695
357,aswan,24.0934,32.907,26.66,59,95,1.87,EG,1699835695
358,basco,20.4487,121.9702,26.36,78,87,13.78,PH,1699835695
359,guerrero negro,27.9769,-114.0611,20.59,56,0,6.17,MX,1699835696
